,index,Unnamed: 0,entity,description,category,node_occurence_flag
1282,1282,4275,chown,Unix command to change file ownership,command,Single
1283,1283,4276,securityContext.readOnlyRootFilesystem,property in Kubernetes Pod configuration to set the root filesystem as read-only,configuration,Single
1284,1284,4277,Pod-with-readonly-filesystem,Kubernetes resource representing a Pod with a read-only root filesystem,resource,Single
1285,1285,4286,touch,A command that creates a new file or updates the timestamp of an existing file.,command,Single
1286,1286,4297,EmptyDir,In-memory volume that is deleted when the pod is terminated,process,Single
1287,1287,4298,Security Context,Configuration to specify security settings for a pod or container,software,Single
1288,1288,4299,fsGroup ID,User ID used by containers to access shared files,hardware,Single
1289,1289,4300,Supplemental Group IDs,Additional group IDs used by containers to access shared files,hardware,Single
1290,1290,4303,id command,shows the container is running with user ID 1111,command,Single
1291,1291,4308,privileged pod,pod that has full access to the cluster node,pod type,Single
1292,1292,4309,/volume/foo,file created in the mounted volume's directory,file,Single
1293,1293,4310,/tmp/foo,file created in the container's filesystem,file,Single
1294,1294,4311,fsGroup security context property,used when creating files in a volume,property,Single
1295,1295,4319,host ports,Ports on the host machine that can be bound by pods,hardware,Single
1296,1296,4320,user IDs,IDs under which containers can run,software,Single
1297,1297,4323,PodSecurityPolicy admission control plugin,A plugin that validates pod definitions against configured PodSecurityPolicies,software,Single
1298,1298,4325,apiserver.GenericServerRunOptions.AdmissionControl,An option that enables the PodSecurityPolicy admission control plugin,software,Single
1299,1299,4327,LimitRanger,A feature that enforces resource limits on pods,software,Single
1300,1300,4329,PersistentVolumeLabel,A feature that manages persistent volume labels,software,Single
1301,1301,4330,DefaultStorageClass,A feature that sets a default storage class for pods,software,Single
1302,1302,4332,DefaultTolerationSeconds,A feature that sets a default toleration period for pods,software,Single
1303,1303,4333,BasicAuthFile,A file that contains basic authentication credentials,hardware,Single
1304,1304,4334,password file,A file that contains password and user ID information,hardware,Single
1310,1310,4344,hostPorts,allowing pods to bind to specific host ports,hardware,Single
1311,1311,4359,MustRunAs rule,rule in PodSecurityPolicy that constrains user or group IDs,database,Single
1312,1312,4360,ranges,field in MustRunAs rule that specifies allowed ID ranges,process,Single
1313,1313,4363,2-10,"ID range allowed for user ID, filesystem group, and supplemental groups",database,Single
1314,1314,4364,20-30,"ID range allowed for user ID, filesystem group, and supplemental groups",database,Single
1315,1315,4372,USER directive,A command in a Dockerfile that sets the user ID for a container,command,Single
1316,1316,4376,MustRunAsNonRoot,A rule that prevents users from deploying containers that run as root.,process,Single
1317,1317,4380,allowedCapabilities,A field in the PodSecurityPolicy resource that specifies which capabilities containers can add.,field,Single
1318,1318,4381,defaultAddCapabilities,A field in the PodSecurityPolicy resource that specifies which capabilities are automatically added to every container.,field,Single
1319,1319,4385,SYS_ADMIN,A Linux kernel capability that allows a range of administrative operations.,capability,Single
1320,1320,4386,SYS_MODULE,A Linux kernel capability that allows loading and unloading of Linux kernel modules.,capability,Single
1321,1321,4389,security-related features,features related to security in pods,application,Single
1322,1322,4390,CAPABILITIES,capabilities added to every deployed pod's containers,process,Single
1323,1323,4393,PodSecurity-Policy Admission Control plugin,plugin adding capabilities to every container's security-Context.capabilities.drop field,application,Single
1324,1324,4395,pod-add-sysadmin-capability.yaml,file containing YAML configuration for creating a pod with added capability,file,Single
1325,1325,4400,persistentVolume-Claim,volume type allowing users to add persistent volume claims to their pods,database,Single
1326,1326,4407,PodSecurityPolicy Admission Control plugin,A plugin that enforces PodSecurityPolicies when creating pods in Kubernetes.,software,Single
1327,1327,4410,PodSecurityPolicy (psp),A shorthand for PodSecurityPolicy in Kubernetes.,software,Single
1328,1328,4425,default policy,The default PodSecurityPolicy resource that allows running non-privileged containers.,resource,Single
1329,1329,4426,privileged policy,A privileged PodSecurityPolicy resource that allows running privileged containers.,resource,Single
1330,1330,4427,Alice,A user who can only deploy restricted (non-privileged) pods.,user,Single
1331,1331,4428,Bob,A user who can deploy both non-privileged and privileged pods.,user,Single
1332,1332,4429,PodSecurityPolicy resource,A PodSecurityPolicy resource defines a set of privileges that can be used by pods.,resource,Single
1333,1333,4431,psp-default,A ClusterRole that allows the use of the default PodSecurityPolicy resource.,role,Single
1334,1334,4434,psp-all-users,A ClusterRoleBinding that binds the psp-default ClusterRole to all authenticated users.,binding,Single
1335,1335,4438,bob,user account in Kubernetes,application,Single
1336,1336,4439,alice,user account in Kubernetes,application,Single
1337,1337,4441,--user,option for specifying user credentials in kubectl commands,command,Single
1338,1338,4442,podSecurityPolicy,resource that defines a set of permissions for pods,database,Single
1339,1339,4443,context,configuration object that specifies user credentials and cluster information,software,Single
1340,1340,4444,appendix A,section in the book that explains how to use kubectl with multiple clusters and contexts,hardware,Single
1341,1341,4446,Admission Control,plugin for validating pod configurations,software,Single
1342,1342,4449,ingress rules,rules for specifying which sources can access matched pods,software,Single
1343,1343,4450,egress rules,rules for specifying which destinations can be accessed from matched pods,software,Single
1344,1344,4452,namespace selector,selector for matching namespaces based on labels,software,Single
1345,1345,4455,default-deny NetworkPolicy,NetworkPolicy that prevents all clients from connecting to any pod in a namespace,database,Single
1346,1346,4466,5432,PostgreSQL database port number,process,Single
1347,1347,4469,Kubernetes namespaces,a way to group resources in a Kubernetes cluster,application,Single
1348,1348,4475,tenant,a label for identifying a tenant in a Kubernetes cluster,application,Single
1349,1349,4476,manning,the name of a tenant,application,Single
1350,1350,4477,shopping-cart,the name of a microservice,application,Single
1351,1351,4479,microservice,a label for identifying a microservice in a Kubernetes cluster,application,Single
1352,1352,4480,shopping-cart-netpolicy,a NetworkPolicy resource for allowing access to the shopping cart microservice,software,Single
1353,1353,4489,ingress rule,A NetworkPolicy rule that allows traffic from a specific IP block or pod selector.,software,Single
1354,1354,4493,shopping-cart microservice,A Kubernetes application that provides a shopping cart service.,application,Single
1355,1355,4498,egress,An egress rule in a NetworkPolicy that limits outbound traffic,software,Single
1356,1356,4499,to,A keyword indicating the destination of an egress rule,software,Single
1357,1357,4508,devices,Hardware components that can be accessed by containers in privileged mode,hardware,Single
1358,1358,4523,if=/dev/zero,"A file descriptor pointing to the /dev/zero device, which generates zeros on demand",filedescriptor,Single
